Описание,Номер
DC60 Multiturn Body 3/8'' shaft; Nitrile seal Sq. Flange Side PG9 conn,575-60044
DC25FS </= 9 min IP69Kw hole on shaft no knurl M12 side conn. HARSCO,575-91001-9
"DC25FE, Multiturn Body 5/8"" shaft flange end conn.",575-92015
"H25 Resolver Shaft 5/8"" With MS-16 side conn. w/o seal Short body",575-93001
"Transducer 1 Turn Flange Mntaligned at zero degrees With 3mm Key Way, 3/8""shaft",H25-FE-06
"Size 25 resolver 3/8"" shaft Flange mount End connector 0.95 TR @ 5000 Hz",H25-FE
NR-60 Multi Body 10mm shaft Nitrile seal Square flange End conn.,575-60007
"DC25FE </= 9 min 3/8"" sahft flange end conn.",575-91001
"DC25FS Multiturn Body 3/8"" shaft Flange Multiturn Body 3/8"" shaft MS23 side conn",575-92000
"DC25FE </= 9 min 5/8"" shaft flange end conn",575-92006
"DC25 Housing 2Sp. End conn. 3/8"" shaft ",DC25-2FE
Transducer 1 Turn C&A Flange TR=0/95; 5KHz end conn.,H25-F1E
"Size 25 resolver 3/8"" shaft Flange mount Side connector w/3 mm keyway",H25-FS-06
"Size 25 resolver 3/8"" shaft  servo mount End connector 0.95 0.95 T.R. @5000 Hz",H25-SE
"NR-60 Encoder Avago assembly,10 mm, multiturn shaft, servo mount, for SIDE CONNECTORS",575-60021
"DC25FS14 </= 9 min. 3/8"" shaft flange side con",575-91004
"DC25FE multiturn body 3/8"" shaft flange",575-92002
"DC25 housing 4 Speed Side Conn. 3/8"" shaft ",DC25-4FS(16)
Size 25 resolver 3/8 shaft Flange mount side connector 0.95 TR @5000Hz,H25-FS
"H25 Resolver 5/8"" shaft MS-16 end conn. w/o seal Short body",575-93002
"DC 25FS Singleturn body 5/8"" shaft flange  SSI Dura MS23 side conn </= 9min",575-92011
H25-w/ Special servo nose Two flats on shaft TR=0.95 @ 5KHz,575-91055
"DC25FS18 </= 9 min 3/8"" shaft flange side conn",575-91009
"H25 Body with Shaft zeroed for HT-400x-j Single turn  TR=0.95, 5KHz, w/o conn",22140702A
"DC25FS, Singleturn Body 3/8"" shaft, Flange SSI Durac  MS23 side conn.",575-92003
"Size 25 resolver  3/8"" shaft side mount w/ 10 pin conn",H25-FS-R3N
Transducer 1 Turn C&A Flange servo mount with 10mm shaft,H25-SE-10
"H25 Body with Shaft zeroed for HT-400x-L Single turn  TR=1,4, 5KHz,2250Hz w/o conn",22140701А
"DC25FS16  </=9 min. 3/8"" shaft, flange , side conn",575-91007
"Transducer 1 Turn C&A Flange TR=0.95, 5KHz, w/o conn",H25-FE-10
"Size 25 resolver  servo with side connector 0.95 TR@5000Hz 3/8"" shaft",H25-SS
"Resolver size 11, TR=0.5 2500 Hz, Control Transmitter +/- 7min.; 0,12"" shaft",575-01921
"Resolver size 11, TR=0,45 1000Hz, Acc. 3min. Transmitter; 0,12"" shaft with flat",575-01912-3
"Resolver size 11, TR-0,95 Transmitter 5KHz; sorted into -1,-4,-8,-10",575-01902
"Resolver size 11, TR=,50 2500Hz ACCUR.=<7 with .30"" shaft lengt",575-01911-2
"Resolver size 11, TR=0,45 1000Hz, Transmitter Acc. Unsorted",575-01912
"Resolver size 11, TR=1,0 1000Hz, control Transmitter +/-7 min",575-01924
"Resolver size 11, TR=0.45 400Hz,Transmitter w/ flat; Acc.=<7 min.",575-01920-1
,575-01920-2
"Resolver size 11, TR=1,40 2250Hz",575-01907
"Resolver size 11,</=20min TR=0,95 5КHz 2speed",575-01909
"NR60 Multiturn Body 3/8"" shaft; Nitrile seal Sq. Flange; End conn.",575-60025
"H25 Flange mount, Viton Seal, End Connector w/10mm shaft 0.95 TR @ 5000Hz",H25V-FE-10
"Resolver size 11 w/seal 2.5Khz 0.5TR 0,1200"" shaft +/- 7min,12"" side leads",575-01921-704
Harowe11 BRW-300-M95B-01 AMCI # R11W-M10/7-1,575-01903
NR 60 Multiturn Body 6mm shaft; Nitrile seal; 58mm servo; End conn,575-60001
,575-60005
,575-60023
,575-60027
,575-60029
"Res. For HT-6 R11X-J 12/7 w/0,7""I. shaft",575-01910
"Res. Size 11 Freq.=2500 Hz, T.R.=.50, Acc=<7, control xfmr.",575-01911
"Res. Size 11 Freq.=2500 Hz, T.R.=.98, Acc<7",575-01913
"Res. Size 11, T.R.=.50 Freq.=2.5k, Accur.=<10, Control Transfoemer , 2 Speed",575-01917
"Res. Size 11 T.R.=0.54, Freq.= 4 k. ACCUR.=<7, Control Transmitter",575-01918
"Res. Size 11. T.R.=.45, FREQ.= 400 Hz, ACCUR. =<7",575-01920
"Res. Size 11 Transmitter, T.R.=0.5, Freq.=2.5 КHz, Acc =+/- 7 min. With Conn. & seal",575-01921-701
"Res. Size 11 T.R.=1.75, Freq.= 400 Hz, Control Transformer, w/ 18"" leads",575-01922
"Res. Size 11 T.R.=1.93, Freq.= 400 Hz, Control Transformer",575-01923
"Res. Size 11 Transmitter, T.R.=0.95, Freq.=2.5 КHz, Acc =< 7 ",575-15903
TURCK 10 mm MULTITURN SHAFT,211387000
Shaft DC-425.375 Dia .250End,21108801A
"5/8"" Shaft w/o Keyway with Front slot Across Shaft for DC425",21114201B
DC60 Rear Cover with PG9 hole and LED pipe for Analog DC60,22146700A
Aluminium flange for size 25 Hub Shaft units for 26mm nitrile seal,21130000B
NR25 Ethernet Multiturn end conn. Rear cover,21134200C
Reference Module Harowe #11BRCX-300-C10 For 0.45 TR resolver,RM-5
Modified Size 11 resolver Made from 575-01902-1 machined flat on the body,211174000
DC-25 Rear Cover Size 18,21111202E
H25/DC25 Servo Nose in 6061 AL new stile,22124400K
"AC Steppers Transformer Uses heavy wire 630-02228 for SD17060x, SD3045x",22903700B
,211389000
"DC25 & H25 Flange for 5/8"" shaft 6061-T6 AL",221397000
"5/8"" S.S. shaft, w .250 end with keyway",21110702D
"5/8"" Rotor Singleturn DC 25 Made from 200-91229 in BG Material SS-316",21129501B
Transformer DC25 5 pin,211137000
Transformer Output 36150 Reference,551-90002
IP67 R11 Rear Cover Length=17mm Hole Dia=18mm,211294020
"IP67 R11 Rear Cover Length=12mm Hole Dia=15,3mm for R11X-F10B/7S3-52",21129405А
