
Операция                            Тип Отчет Количество
--------                            --------- ----------
Залепване на роторен пакет и макара                   20
Пудрене                                               20
Шлайфане                                              20
Залепване на роторен пакет и макара                    5
Пудрене                                                5
Шлайфане                                               5
Залепване на роторен пакет и макара                    5
Пудрене                                                5
Шлайфане                                               5
Залепване на роторен пакет и макара                   41
Пудрене                                               41
Шлайфане                                              41
Залепване на роторен пакет и макара                   33
Пудрене                                               33
Шлайфане                                              33
Залепване на роторен пакет и макара                   30
Пудрене                                               30
Шлайфане                                              30
Залепване на роторен пакет и макара                    5
Пудрене                                                5
Шлайфане                                               5
Залепване на роторен пакет и макара                   21
Пудрене                                               21
Шлайфане                                              21
Залепване на роторен пакет и макара                   26
Пудрене                                               26
Шлайфане                                              26
Залепване на роторен пакет и макара                   40
Пудрене                                               40
Шлайфане                                              40
Залепване на роторен пакет и макара                   41
Пудрене                                               41
Шлайфане                                              41
Залепване на роторен пакет и макара                    5
Пудрене                                                5
Шлайфане                                               5
Залепване на роторен пакет и макара                    7
Пудрене                                                7
Шлайфане                                               7
Залепване на роторен пакет и макара                   30
Пудрене                                               30
Шлайфане                                              30
Залепване на роторен пакет и макара                    5
Пудрене                                                5
Шлайфане                                               5
Залепване на роторен пакет и макара                   15
Пудрене                                               15
Залепване на роторен пакет и макара                    4
Пудрене                                                4
Шлайфане                                               4
Залепване на роторен пакет и макара                    8
Пудрене                                                8
Шлайфане                                               8
Залепване на роторен пакет и макара                   15
Пудрене                                               15


